date,rank,team,points
01 July 2018,1,Germany,2172
01 July 2018,2,France,2164
01 July 2018,3,Portugal,2163
01 July 2018,4,Brazil,2160
01 July 2018,5,Belgium,2124
01 July 2018,6,Spain,2104
01 July 2018,7,England,2099
01 July 2018,8,Switzerland,2087
01 July 2018,9,Argentina,2080
01 July 2018,10,Mexico,2041
01 July 2018,10,Chile,2041
01 July 2018,12,Croatia,2036
01 July 2018,13,Poland,2023
01 July 2018,14,Uruguay,2017
01 July 2018,15,Denmark,2014
01 July 2018,16,Italy,2009
01 July 2018,17,Colombia,1998
01 July 2018,18,Wales,1979
01 July 2018,19,Peru,1975
01 July 2018,20,Netherlands,1959
01 July 2018,21,Sweden,1955
01 July 2018,22,Iceland,1938
01 July 2018,22,Senegal,1938
01 July 2018,24,Slovakia,1910
01 July 2018,25,USA,1905
01 July 2018,26,Republic of Ireland,1901
01 July 2018,27,Austria,1899
01 July 2018,28,IR Iran,1896
01 July 2018,29,Northern Ireland,1887
01 July 2018,30,Serbia,1875
01 July 2018,31,Ukraine,1874
01 July 2018,32,Australia,1866
01 July 2018,33,Paraguay,1863
01 July 2018,33,Romania,1863
01 July 2018,35,Venezuela,1849
01 July 2018,35,Turkey,1849
01 July 2018,37,Costa Rica,1839
01 July 2018,38,Tunisia,1835
01 July 2018,39,Scotland,1834
01 July 2018,40,Bosnia and Herzegovina,1826
01 July 2018,41,Japan,1816
01 July 2018,42,Czech Republic,1809
01 July 2018,43,Morocco,1801
01 July 2018,44,Cameroon,1790
01 July 2018,45,Congo DR,1780
01 July 2018,46,Hungary,1771
01 July 2018,47,Nigeria,1765
01 July 2018,48,Greece,1760
01 July 2018,49,Russia,1758
01 July 2018,50,Ecuador,1756
01 July 2018,51,Korea Republic,1751
01 July 2018,52,Montenegro,1750
01 July 2018,53,Egypt,1748
01 July 2018,54,Bulgaria,1743
01 July 2018,55,Ghana,1739
01 July 2018,56,Albania,1734
01 July 2018,57,Burkina Faso,1728
01 July 2018,58,Panama,1723
