Date,Score,Home_team,Away_team,Home_goals,Away_goals
08 Sep 2018,6-0,Switzerland,Iceland,6,0
11 Sep 2018,1-0,England,Switzerland,1,0
12 Oct 2018,2-1,Belgium,Switzerland,2,1
15 Oct 2018,1-2,Iceland,Switzerland,1,2
14 Nov 2018,0-1,Switzerland,Qatar,0,1
18 Nov 2018,5-2,Switzerland,Belgium,5,2
23 Mar 2019,0-2,Georgia,Switzerland,0,2
26 Mar 2019,3-3,Switzerland,Denmark,3,3
05 Jun 2019,3-1,Portugal,Switzerland,3,1
09 Jun 2019,0-0 (5-6),Switzerland,England,5,6
05 Sep 2019,1-1,Republic of Ireland,Switzerland,1,1
08 Sep 2019,4-0,Switzerland,Gibraltar,4,0
12 Oct 2019,1-0,Denmark,Switzerland,1,0
15 Oct 2019,2-0,Switzerland,Republic of Ireland,2,0
15 Nov 2019,1-0,Switzerland,Georgia,1,0
18 Nov 2019,1-6,Gibraltar,Switzerland,1,6
03 Sep 2020,2-1,Ukraine,Switzerland,2,1
06 Sep 2020,1-1,Switzerland,Germany,1,1
07 Oct 2020,1-2,Switzerland,Croatia,1,2
10 Oct 2020,1-0,Spain,Switzerland,1,0
13 Oct 2020,3-3,Germany,Switzerland,3,3
11 Nov 2020,2-1,Belgium,Switzerland,2,1
14 Nov 2020,1-1,Switzerland,Spain,1,1
17 Nov 2020,3-0,Switzerland,Ukraine,3,0
25 Mar 2021,1-3,Bulgaria,Switzerland,1,3
28 Mar 2021,1-0,Switzerland,Lithuania,1,0
31 Mar 2021,3-2,Switzerland,Finland,3,2
30 May 2021,0-0,Switzerland,USA,0,0
07 Sep 2018,1-1,Italy,Poland,1,1
10 Sep 2018,1-0,Portugal,Italy,1,0
10 Oct 2018,1-1,Italy,Ukraine,1,1
14 Oct 2018,0-1,Poland,Italy,0,1
17 Nov 2018,0-0,Italy,Portugal,0,0
20 Nov 2018,1-0,Italy,USA,1,0
23 Mar 2019,2-0,Italy,Finland,2,0
26 Mar 2019,6-0,Italy,Liechtenstein,6,0
08 Jun 2019,0-3,Greece,Italy,0,3
11 Jun 2019,2-1,Italy,Bosnia and Herzegovina,2,1
05 Sep 2019,1-3,Armenia,Italy,1,3
08 Sep 2019,1-2,Finland,Italy,1,2
12 Oct 2019,2-0,Italy,Greece,2,0
15 Oct 2019,0-5,Liechtenstein,Italy,0,5
15 Nov 2019,0-3,Bosnia and Herzegovina,Italy,0,3
18 Nov 2019,9-1,Italy,Armenia,9,1
04 Sep 2020,1-1,Italy,Bosnia and Herzegovina,1,1
07 Sep 2020,0-1,Netherlands,Italy,0,1
07 Oct 2020,6-0,Italy,Moldova,6,0
11 Oct 2020,0-0,Poland,Italy,0,0
14 Oct 2020,1-1,Italy,Netherlands,1,1
11 Nov 2020,4-0,Italy,Estonia,4,0
15 Nov 2020,2-0,Italy,Poland,2,0
18 Nov 2020,0-2,Bosnia and Herzegovina,Italy,0,2
25 Mar 2021,2-0,Italy,Northern Ireland,2,0
28 Mar 2021,0-2,Bulgaria,Italy,0,2
31 Mar 2021,0-2,Lithuania,Italy,0,2
28 May 2021,7-0,Italy,San Marino,7,0
06 Sep 2018,4-1,Wales,Republic of Ireland,4,1
09 Sep 2018,2-0,Denmark,Wales,2,0
11 Oct 2018,1-4,Wales,Spain,1,4
16 Oct 2018,0-1,Republic of Ireland,Wales,0,1
16 Nov 2018,1-2,Wales,Denmark,1,2
20 Nov 2018,1-0,Albania,Wales,1,0
20 Mar 2019,1-0,Wales,Trinidad and Tobago,1,0
24 Mar 2019,1-0,Wales,Slovakia,1,0
08 Jun 2019,2-1,Croatia,Wales,2,1
11 Jun 2019,1-0,Hungary,Wales,1,0
06 Sep 2019,2-1,Wales,Azerbaijan,2,1
09 Sep 2019,1-0,Wales,Belarus,1,0
10 Oct 2019,1-1,Slovakia,Wales,1,1
13 Oct 2019,1-1,Wales,Croatia,1,1
16 Nov 2019,0-2,Azerbaijan,Wales,0,2
19 Nov 2019,2-0,Wales,Hungary,2,0
03 Sep 2020,0-1,Finland,Wales,0,1
06 Sep 2020,1-0,Wales,Bulgaria,1,0
08 Oct 2020,3-0,England,Wales,3,0
11 Oct 2020,0-0,Republic of Ireland,Wales,0,0
14 Oct 2020,0-1,Bulgaria,Wales,0,1
12 Nov 2020,0-0,Wales,USA,0,0
15 Nov 2020,1-0,Wales,Republic of Ireland,1,0
18 Nov 2020,3-1,Wales,Finland,3,1
24 Mar 2021,3-1,Belgium,Wales,3,1
27 Mar 2021,1-0,Wales,Mexico,1,0
30 Mar 2021,1-0,Wales,Czech Republic,1,0
07 Sep 2018,1-2,Turkey,Russia,1,2
10 Sep 2018,2-3,Sweden,Turkey,2,3
11 Oct 2018,0-0,Turkey,Bosnia and Herzegovina,0,0
14 Oct 2018,2-0,Russia,Turkey,2,0
17 Nov 2018,0-1,Turkey,Sweden,0,1
20 Nov 2018,0-0,Turkey,Ukraine,0,0
22 Mar 2019,0-2,Albania,Turkey,0,2
25 Mar 2019,4-0,Turkey,Moldova,4,0
30 May 2019,2-1,Turkey,Greece,2,1
02 Jun 2019,2-0,Turkey,Uzbekistan,2,0
08 Jun 2019,2-0,Turkey,France,2,0
11 Jun 2019,2-1,Iceland,Turkey,2,1
07 Sep 2019,1-0,Turkey,Andorra,1,0
10 Sep 2019,0-4,Moldova,Turkey,0,4
11 Oct 2019,1-0,Turkey,Albania,1,0
14 Oct 2019,1-1,France,Turkey,1,1
14 Nov 2019,0-0,Turkey,Iceland,0,0
17 Nov 2019,0-2,Andorra,Turkey,0,2
03 Sep 2020,0-1,Turkey,Hungary,0,1
06 Sep 2020,0-0,Serbia,Turkey,0,0
07 Oct 2020,3-3,Germany,Turkey,3,3
11 Oct 2020,1-1,Russia,Turkey,1,1
14 Oct 2020,2-2,Turkey,Serbia,2,2
11 Nov 2020,3-3,Turkey,Croatia,3,3
15 Nov 2020,3-2,Turkey,Russia,3,2
18 Nov 2020,2-0,Hungary,Turkey,2,0
24 Mar 2021,4-2,Turkey,Netherlands,4,2
27 Mar 2021,0-3,Norway,Turkey,0,3
30 Mar 2021,3-3,Turkey,Latvia,3,3
27 May 2021,2-1,Turkey,Azerbaijan,2,1
07 Sep 2018,0-4,Scotland,Belgium,0,4
11 Sep 2018,0-3,Iceland,Belgium,0,3
12 Oct 2018,2-1,Belgium,Switzerland,2,1
16 Oct 2018,1-1,Belgium,Netherlands,1,1
15 Nov 2018,2-0,Belgium,Iceland,2,0
18 Nov 2018,5-2,Switzerland,Belgium,5,2
21 Mar 2019,3-1,Belgium,Russia,3,1
24 Mar 2019,0-2,Cyprus,Belgium,0,2
08 Jun 2019,3-0,Belgium,Kazakhstan,3,0
11 Jun 2019,3-0,Belgium,Scotland,3,0
06 Sep 2019,0-4,San Marino,Belgium,0,4
09 Sep 2019,0-4,Scotland,Belgium,0,4
10 Oct 2019,9-0,Belgium,San Marino,9,0
13 Oct 2019,0-2,Kazakhstan,Belgium,0,2
16 Nov 2019,1-4,Russia,Belgium,1,4
19 Nov 2019,6-1,Belgium,Cyprus,6,1
05 Sep 2020,0-2,Denmark,Belgium,0,2
08 Sep 2020,5-1,Belgium,Iceland,5,1
08 Oct 2020,1-1,Belgium,Ivory Coast,1,1
11 Oct 2020,2-1,England,Belgium,2,1
14 Oct 2020,1-2,Iceland,Belgium,1,2
11 Nov 2020,2-1,Belgium,Switzerland,2,1
15 Nov 2020,2-0,Belgium,England,2,0
18 Nov 2020,4-2,Belgium,Denmark,4,2
24 Mar 2021,3-1,Belgium,Wales,3,1
27 Mar 2021,1-1,Czech Republic,Belgium,1,1
30 Mar 2021,8-0,Belgium,Belarus,8,0
07 Sep 2018,1-2,Turkey,Russia,1,2
10 Sep 2018,5-1,Russia,Czech Republic,5,1
11 Oct 2018,0-0,Russia,Sweden,0,0
14 Oct 2018,2-0,Russia,Turkey,2,0
15 Nov 2018,3-0,Germany,Russia,3,0
20 Nov 2018,2-0,Sweden,Russia,2,0
21 Mar 2019,3-1,Belgium,Russia,3,1
24 Mar 2019,0-4,Kazakhstan,Russia,0,4
08 Jun 2019,9-0,Russia,San Marino,9,0
11 Jun 2019,1-0,Russia,Cyprus,1,0
06 Sep 2019,1-2,Scotland,Russia,1,2
09 Sep 2019,1-0,Russia,Kazakhstan,1,0
10 Oct 2019,4-0,Russia,Scotland,4,0
13 Oct 2019,0-5,Cyprus,Russia,0,5
16 Nov 2019,1-4,Russia,Belgium,1,4
19 Nov 2019,0-5,San Marino,Russia,0,5
03 Sep 2020,3-1,Russia,Serbia,3,1
06 Sep 2020,2-3,Hungary,Russia,2,3
08 Oct 2020,1-2,Russia,Sweden,1,2
14 Oct 2020,0-0,Russia,Hungary,0,0
12 Nov 2020,0-0,Moldova,Russia,0,0
15 Nov 2020,3-2,Turkey,Russia,3,2
18 Nov 2020,5-0,Serbia,Russia,5,0
24 Mar 2021,1-3,Malta,Russia,1,3
27 Mar 2021,2-1,Russia,Slovenia,2,1
30 Mar 2021,2-1,Slovakia,Russia,2,1
05 Sep 2018,3-0,Slovakia,Denmark,3,0
09 Sep 2018,2-0,Denmark,Wales,2,0
13 Oct 2018,0-0,Republic of Ireland,Denmark,0,0
16 Oct 2018,2-0,Denmark,Austria,2,0
16 Nov 2018,1-2,Wales,Denmark,1,2
19 Nov 2018,0-0,Denmark,Republic of Ireland,0,0
21 Mar 2019,2-2,Kosovo,Denmark,2,2
07 Jun 2019,1-1,Denmark,Republic of Ireland,1,1
10 Jun 2019,5-1,Denmark,Georgia,5,1
05 Sep 2019,0-6,Gibraltar,Denmark,0,6
08 Sep 2019,0-0,Georgia,Denmark,0,0
12 Oct 2019,1-0,Denmark,Switzerland,1,0
15 Oct 2019,4-0,Denmark,Luxembourg,4,0
15 Nov 2019,6-0,Denmark,Gibraltar,6,0
18 Nov 2019,1-1,Republic of Ireland,Denmark,1,1
05 Sep 2020,0-2,Denmark,Belgium,0,2
08 Sep 2020,0-0,Denmark,England,0,0
07 Oct 2020,4-0,Denmark,Faroe Islands,4,0
11 Oct 2020,0-3,Iceland,Denmark,0,3
14 Oct 2020,0-1,England,Denmark,0,1
11 Nov 2020,2-0,Denmark,Sweden,2,0
15 Nov 2020,2-1,Denmark,Iceland,2,1
18 Nov 2020,4-2,Belgium,Denmark,4,2
25 Mar 2021,0-2,Israel,Denmark,0,2
28 Mar 2021,8-0,Denmark,Moldova,8,0
31 Mar 2021,0-4,Austria,Denmark,0,4
08 Sep 2018,1-0,Finland,Hungary,1,0
11 Sep 2018,1-0,Finland,Estonia,1,0
12 Oct 2018,0-1,Estonia,Finland,0,1
15 Oct 2018,2-0,Finland,Greece,2,0
15 Nov 2018,1-0,Greece,Finland,1,0
18 Nov 2018,2-0,Hungary,Finland,2,0
08 Jan 2019,1-0,Finland,Sweden,1,0
11 Jan 2019,2-1,Estonia,Finland,2,1
23 Mar 2019,2-0,Italy,Finland,2,0
26 Mar 2019,0-2,Armenia,Finland,0,2
08 Jun 2019,2-0,Finland,Bosnia and Herzegovina,2,0
11 Jun 2019,0-2,Liechtenstein,Finland,0,2
05 Sep 2019,1-0,Finland,Greece,1,0
08 Sep 2019,1-2,Finland,Italy,1,2
12 Oct 2019,4-1,Bosnia and Herzegovina,Finland,4,1
15 Oct 2019,3-0,Finland,Armenia,3,0
15 Nov 2019,3-0,Finland,Liechtenstein,3,0
18 Nov 2019,2-1,Greece,Finland,2,1
03 Sep 2020,0-1,Finland,Wales,0,1
06 Sep 2020,0-1,Republic of Ireland,Finland,0,1
07 Oct 2020,5-1,Poland,Finland,5,1
11 Oct 2020,2-0,Finland,Bulgaria,2,0
14 Oct 2020,1-0,Finland,Republic of Ireland,1,0
11 Nov 2020,0-2,France,Finland,0,2
15 Nov 2020,1-2,Bulgaria,Finland,1,2
18 Nov 2020,3-1,Wales,Finland,3,1
24 Mar 2021,2-2,Finland,Bosnia and Herzegovina,2,2
28 Mar 2021,1-1,Ukraine,Finland,1,1
