date,rank,team,points
01 July 2018,1,Germany,2172
01 July 2018,2,France,2164
01 July 2018,3,Portugal,2163
01 July 2018,5,Belgium,2124
01 July 2018,6,Spain,2104
01 July 2018,7,England,2099
01 July 2018,8,Switzerland,2087
01 July 2018,12,Croatia,2036
01 July 2018,13,Poland,2023
01 July 2018,15,Denmark,2014
01 July 2018,16,Italy,2009
01 July 2018,18,Wales,1979
01 July 2018,20,Netherlands,1959
01 July 2018,21,Sweden,1955
01 July 2018,22,Iceland,1938
01 July 2018,24,Slovakia,1910
01 July 2018,26,Republic of Ireland,1901
01 July 2018,27,Austria,1899
01 July 2018,29,Northern Ireland,1887
01 July 2018,30,Serbia,1875
01 July 2018,31,Ukraine,1874
01 July 2018,33,Romania,1863
01 July 2018,35,Turkey,1849
01 July 2018,39,Scotland,1834
01 July 2018,40,Bosnia and Herzegovina,1826
01 July 2018,42,Czech Republic,1809
01 July 2018,46,Hungary,1771
01 July 2018,48,Greece,1760
01 July 2018,49,Russia,1758
01 July 2018,52,Montenegro,1750
01 July 2018,54,Bulgaria,1743
01 July 2018,56,Albania,1734
01 July 2018,60,Slovenia,1719
01 July 2018,61,Norway,1711
01 July 2018,64,Finland,1674
01 July 2018,75,FYR Macedonia,1601
01 July 2018,79,Belarus,1579
01 July 2018,82,Luxembourg,1538
01 July 2018,87,Israel,1523
01 July 2018,90,Cyprus,1505
01 July 2018,92,Estonia,1497
01 July 2018,93,Faroe Islands,1495
01 July 2018,96,Georgia,1476
01 July 2018,98,Armenia,1469
01 July 2018,107,Azerbaijan,1405
01 July 2018,118,Kazakhstan,1349
01 July 2018,125,Latvia,1297
01 July 2018,125,Lithuania,1297
01 July 2018,141,Andorra,1210
01 July 2018,142,Kosovo,1207
16 August 2018,1,France,1726
16 August 2018,2,Belgium,1723
16 August 2018,4,Croatia,1643
16 August 2018,6,England,1615
16 August 2018,7,Portugal,1599
16 August 2018,8,Switzerland,1597
16 August 2018,9,Denmark,1580
16 August 2018,9,Spain,1580
