Date,Match,Result,Score,Competition
08 Sep 2018,Switzerland v Iceland,W,"
6-0
",UEFA Nations League
11 Sep 2018,England v Switzerland,L,"
1-0
",International Friendly
12 Oct 2018,Belgium v Switzerland,L,"
2-1
",UEFA Nations League
15 Oct 2018,Iceland v Switzerland,W,"
1-2
",UEFA Nations League
14 Nov 2018,Switzerland v Qatar,L,"
0-1
",International Friendly
18 Nov 2018,Switzerland v Belgium,W,"
5-2
",UEFA Nations League
23 Mar 2019,Georgia v Switzerland,W,"
0-2
",UEFA European Championship
26 Mar 2019,Switzerland v Denmark,D,"
3-3
",UEFA European Championship
05 Jun 2019,Portugal v Switzerland,L,"
3-1
",UEFA Nations League
09 Jun 2019,Switzerland v England,L,"
0-0 (5-6)
",UEFA Nations League
05 Sep 2019,Republic of Ireland v Switzerland,D,"
1-1
",UEFA European Championship
08 Sep 2019,Switzerland v Gibraltar,W,"
4-0
",UEFA European Championship
12 Oct 2019,Denmark v Switzerland,L,"
1-0
",UEFA European Championship
15 Oct 2019,Switzerland v Republic of Ireland,W,"
2-0
",UEFA European Championship
15 Nov 2019,Switzerland v Georgia,W,"
1-0
",UEFA European Championship
18 Nov 2019,Gibraltar v Switzerland,W,"
1-6
",UEFA European Championship
03 Sep 2020,Ukraine v Switzerland,L,"
2-1
",UEFA Nations League
06 Sep 2020,Switzerland v Germany,D,"
1-1
",UEFA Nations League
07 Oct 2020,Switzerland v Croatia,L,"
1-2
",International Friendly
10 Oct 2020,Spain v Switzerland,L,"
1-0
",UEFA Nations League
13 Oct 2020,Germany v Switzerland,D,"
3-3
",UEFA Nations League
11 Nov 2020,Belgium v Switzerland,L,"
2-1
",International Friendly
14 Nov 2020,Switzerland v Spain,D,"
1-1
",UEFA Nations League
17 Nov 2020,Switzerland v Ukraine,W,"
3-0
",UEFA Nations League
25 Mar 2021,Bulgaria v Switzerland,W,"
1-3
",FIFA World Cup
28 Mar 2021,Switzerland v Lithuania,W,"
1-0
",FIFA World Cup
31 Mar 2021,Switzerland v Finland,W,"
3-2
",International Friendly
30 May 2021,Switzerland v USA,D,"
0-0
",International Friendly
07 Sep 2018,Italy v Poland,D,"
1-1
",UEFA Nations League
10 Sep 2018,Portugal v Italy,L,"
1-0
",UEFA Nations League
10 Oct 2018,Italy v Ukraine,D,"
1-1
",International Friendly
14 Oct 2018,Poland v Italy,W,"
0-1
",UEFA Nations League
17 Nov 2018,Italy v Portugal,D,"
0-0
",UEFA Nations League
20 Nov 2018,Italy v USA,W,"
1-0
",International Friendly
23 Mar 2019,Italy v Finland,W,"
2-0
",UEFA European Championship
26 Mar 2019,Italy v Liechtenstein,W,"
6-0
",UEFA European Championship
08 Jun 2019,Greece v Italy,W,"
0-3
",UEFA European Championship
11 Jun 2019,Italy v Bosnia and Herzegovina,W,"
2-1
",UEFA European Championship
05 Sep 2019,Armenia v Italy,W,"
1-3
",UEFA European Championship
08 Sep 2019,Finland v Italy,W,"
1-2
",UEFA European Championship
12 Oct 2019,Italy v Greece,W,"
2-0
",UEFA European Championship
15 Oct 2019,Liechtenstein v Italy,W,"
0-5
",UEFA European Championship
15 Nov 2019,Bosnia and Herzegovina v Italy,W,"
0-3
",UEFA European Championship
18 Nov 2019,Italy v Armenia,W,"
9-1
",UEFA European Championship
04 Sep 2020,Italy v Bosnia and Herzegovina,D,"
1-1
",UEFA Nations League
07 Sep 2020,Netherlands v Italy,W,"
0-1
",UEFA Nations League
07 Oct 2020,Italy v Moldova,W,"
6-0
",International Friendly
11 Oct 2020,Poland v Italy,D,"
0-0
",UEFA Nations League
14 Oct 2020,Italy v Netherlands,D,"
1-1
",UEFA Nations League
11 Nov 2020,Italy v Estonia,W,"
4-0
",International Friendly
15 Nov 2020,Italy v Poland,W,"
2-0
",UEFA Nations League
18 Nov 2020,Bosnia and Herzegovina v Italy,W,"
0-2
",UEFA Nations League
